Order Number,Manufacturing Time (days),Delivery Time (days),Units Shipped,Damaged Units,Returns,Supplier,Raw Material Lead Time (days)
ORD1630,7,2,75,1,2,S-1,3
ORD1631,2,4,185,6,2,S-2,5
ORD1632,7,2,94,9,0,S-3,2
ORD1633,8,1,133,6,0,S-2,5
ORD1634,8,2,196,3,4,S-1,6
ORD1635,9,2,194,9,1,S-3,5
ORD1636,2,3,152,1,3,S-3,2
ORD1637,4,3,173,3,2,S-2,6
ORD1638,9,1,172,3,0,S-2,3
ORD1639,6,3,165,5,3,S-3,2
ORD1640,2,1,63,6,4,S-2,5
ORD1641,5,4,66,2,2,S-2,2
ORD1642,8,1,62,9,2,S-1,6
ORD1643,4,2,142,0,0,S-2,5
ORD1644,9,1,112,2,1,S-3,3
ORD1645,8,4,82,8,2,S-1,4
ORD1646,5,2,78,0,1,S-3,3
ORD1647,4,1,86,7,3,S-1,2
ORD1648,8,3,152,1,2,S-1,4
ORD1649,5,3,73,5,2,S-2,6
ORD1650,5,3,191,2,1,S-2,5
ORD1651,8,1,182,6,0,S-3,5
ORD1652,9,1,174,1,4,S-2,6
ORD1653,8,4,102,3,3,S-1,2
ORD1654,7,2,137,9,2,S-2,3
ORD1655,2,2,147,8,0,S-3,4
ORD1656,2,2,163,5,2,S-1,6
ORD1657,4,2,144,3,3,S-3,2
ORD1658,6,1,169,1,4,S-2,2
ORD1659,8,1,122,9,2,S-1,4
ORD1660,9,4,155,8,1,S-3,6
ORD1661,7,2,75,3,0,S-2,3
ORD1662,2,1,67,8,4,S-2,3
ORD1663,2,1,185,1,2,S-3,6
ORD1664,9,1,195,6,4,S-1,5
ORD1665,7,1,107,4,1,S-3,3
ORD1666,3,2,142,7,2,S-2,5
ORD1667,7,2,98,7,4,S-3,6
ORD1668,9,1,120,3,2,S-2,2
ORD1669,2,3,114,3,2,S-1,6
ORD1670,6,4,82,7,4,S-3,2
ORD1671,3,2,99,2,2,S-1,6
ORD1672,9,2,53,6,1,S-3,5
ORD1673,9,3,168,7,4,S-2,5
ORD1674,5,2,133,7,4,S-1,6
ORD1675,7,3,166,9,1,S-2,2
ORD1676,5,3,151,3,1,S-3,6
ORD1677,3,1,180,8,1,S-2,2
ORD1678,3,2,55,9,2,S-3,5
ORD1679,3,4,72,3,2,S-1,4
ORD1680,4,3,184,7,3,S-2,3
ORD1681,7,4,169,5,2,S-2,5
ORD1682,9,1,110,4,1,S-3,6
ORD1683,8,2,149,3,3,S-3,6
ORD1684,6,1,114,4,1,S-3,2
ORD1685,6,1,183,0,0,S-1,3
ORD1686,9,4,73,6,4,S-2,5
ORD1687,5,4,86,7,0,S-3,3
ORD1688,9,3,94,8,1,S-3,3
ORD1689,5,2,149,2,2,S-2,5
ORD1690,8,1,151,8,4,S-1,2
ORD1691,5,3,112,9,2,S-2,2
ORD1692,7,3,78,4,2,S-3,2
ORD1693,2,1,150,9,4,S-2,4
ORD1694,5,1,158,5,4,S-3,3
ORD1695,3,3,145,0,0,S-3,4
ORD1696,5,1,59,8,1,S-2,2
ORD1697,3,1,84,8,2,S-2,5
ORD1698,4,4,104,5,1,S-1,3
ORD1699,2,2,145,7,1,S-3,5
ORD1700,2,3,172,3,3,S-3,6
ORD1701,8,1,61,4,0,S-3,3
ORD1702,7,3,53,4,2,S-3,5
ORD1703,9,2,155,6,4,S-3,2
ORD1704,7,3,139,6,4,S-2,4
ORD1705,6,3,116,6,1,S-3,5
ORD1706,4,3,194,4,0,S-2,6
ORD1707,8,4,114,3,0,S-1,2
ORD1708,7,2,131,7,2,S-3,6
ORD1709,3,2,154,0,2,S-1,4
ORD1710,4,3,133,0,1,S-2,6
ORD1711,2,3,154,5,1,S-2,5
ORD1712,9,2,164,1,1,S-1,5
ORD1713,9,1,77,2,3,S-3,2
ORD1714,3,4,65,3,0,S-2,4
ORD1715,8,2,70,1,1,S-2,4
ORD1716,8,3,126,9,0,S-2,3
ORD1717,4,1,91,6,4,S-2,3
ORD1718,2,1,103,9,4,S-2,5
ORD1719,7,1,81,0,0,S-2,6
ORD1720,3,4,163,2,4,S-1,6
ORD1721,3,4,87,1,4,S-3,2
ORD1722,2,2,163,8,4,S-3,4
ORD1723,3,2,159,7,2,S-3,5
ORD1724,9,2,152,2,2,S-3,6
ORD1725,7,2,126,4,0,S-1,3
ORD1726,7,3,189,2,0,S-1,5
ORD1727,7,4,102,5,3,S-3,2
ORD1728,2,1,170,4,2,S-2,5
ORD1729,5,3,52,1,0,S-3,6
ORD1730,5,2,103,9,2,S-2,2
ORD1731,8,2,89,7,3,S-2,3
ORD1732,8,3,117,5,0,S-1,3
ORD1733,9,1,163,2,0,S-2,6
ORD1734,3,4,179,0,0,S-1,2
ORD1735,7,4,91,4,0,S-3,3
ORD1736,3,1,143,1,1,S-1,2
ORD1737,2,4,198,1,2,S-2,5
ORD1738,3,2,150,8,2,S-2,4
ORD1739,6,2,173,9,2,S-2,4
ORD1740,5,2,51,6,3,S-3,4
ORD1741,3,2,140,5,1,S-1,3
ORD1742,3,1,108,0,2,S-3,6
ORD1743,4,4,147,9,2,S-1,4
ORD1744,9,4,65,1,0,S-3,6
ORD1745,3,3,197,6,0,S-3,4
ORD1746,6,1,65,2,0,S-2,5
ORD1747,5,4,157,1,2,S-3,4
ORD1748,4,4,72,5,0,S-3,6
ORD1749,9,3,91,7,2,S-1,3
ORD1750,2,2,86,7,3,S-3,5
ORD1751,8,4,121,1,3,S-2,6
ORD1752,2,2,183,5,4,S-3,2
ORD1753,5,3,165,4,1,S-1,4
ORD1754,8,4,199,6,0,S-1,5
ORD1755,2,2,55,3,0,S-3,3
ORD1756,9,1,81,1,1,S-3,2
ORD1757,6,2,194,9,1,S-1,4
ORD1758,3,2,87,2,4,S-2,5
ORD1759,5,2,194,8,1,S-3,6
ORD1760,8,2,86,9,2,S-2,4
ORD1761,4,1,110,7,0,S-2,5
ORD1762,3,3,126,8,1,S-3,4
ORD1763,2,2,176,4,2,S-2,5
ORD1764,2,2,135,4,1,S-1,6
ORD1765,4,4,56,6,2,S-2,4
ORD1766,6,4,199,6,3,S-1,5
ORD1767,9,1,134,0,2,S-3,2
ORD1768,9,1,55,4,4,S-2,3
ORD1769,4,1,191,7,2,S-1,5
ORD1770,5,4,193,6,1,S-1,5
ORD1771,4,2,52,1,3,S-3,5
ORD1772,2,4,186,7,3,S-2,4
ORD1773,6,3,96,1,2,S-1,3
ORD1774,6,1,134,9,1,S-1,4
ORD1775,7,1,143,0,3,S-3,5
ORD1776,4,1,72,2,2,S-2,5
ORD1777,5,3,52,2,2,S-2,3
ORD1778,2,2,178,5,2,S-1,2
ORD1779,3,2,116,2,3,S-2,4
ORD1780,9,2,120,6,0,S-2,2
ORD1781,9,1,180,7,1,S-2,5
ORD1782,9,2,116,2,4,S-2,5
ORD1783,6,4,104,8,4,S-2,6
ORD1784,9,1,181,0,1,S-2,6
ORD1785,4,3,80,2,0,S-2,2
ORD1786,7,3,115,2,1,S-1,6
ORD1787,5,2,150,6,2,S-1,3
ORD1788,5,1,113,4,1,S-2,2
ORD1789,8,4,80,3,1,S-2,6
ORD1790,9,4,166,1,3,S-3,6
ORD1791,2,1,115,6,4,S-1,3
ORD1792,6,2,96,2,4,S-3,3
ORD1793,2,3,71,6,2,S-1,2
ORD1794,9,3,143,9,2,S-3,4
ORD1795,7,4,132,6,3,S-3,3
ORD1796,3,4,95,1,2,S-3,6
ORD1797,9,4,138,6,0,S-1,2
ORD1798,3,3,168,5,3,S-1,4
ORD1799,3,4,95,9,3,S-2,2
ORD1800,5,3,50,3,1,S-1,6
ORD1801,6,3,145,4,1,S-1,4
ORD1802,9,2,110,7,0,S-1,4
ORD1803,2,2,154,4,3,S-1,3
ORD1804,2,2,130,2,3,S-2,5
ORD1805,7,4,63,1,1,S-2,6
ORD1806,3,3,94,5,4,S-1,5
ORD1807,6,4,126,5,4,S-3,6
ORD1808,6,3,115,6,1,S-3,2
ORD1809,7,2,81,7,2,S-1,5
ORD1810,4,2,145,3,3,S-2,4
ORD1811,6,4,107,7,0,S-3,3
ORD1812,6,3,153,0,4,S-2,6
ORD1813,2,4,105,5,2,S-2,3
ORD1814,7,1,183,5,3,S-3,6
ORD1815,9,4,116,2,2,S-1,4
ORD1816,6,2,167,8,3,S-2,4
ORD1817,6,3,87,4,3,S-3,4
ORD1818,2,3,180,0,1,S-2,4
ORD1819,9,4,161,6,1,S-3,4
ORD1820,9,2,182,9,0,S-1,3
ORD1821,6,1,103,2,0,S-1,2
ORD1822,2,4,83,9,2,S-1,5
ORD1823,4,3,88,9,1,S-2,3
ORD1824,5,2,161,3,3,S-1,5
ORD1825,8,3,137,5,1,S-1,2
ORD1826,2,3,97,7,3,S-1,6
ORD1827,2,3,98,3,1,S-1,2
ORD1828,6,3,83,8,3,S-3,2
ORD1829,2,1,149,7,2,S-3,6
ORD1830,7,2,184,9,1,S-2,5
ORD1831,3,4,67,9,4,S-3,4
ORD1832,3,2,119,5,4,S-3,6
ORD1833,4,2,163,6,3,S-3,6
ORD1834,9,2,83,7,2,S-3,2
ORD1835,2,4,100,1,3,S-3,6
ORD1836,9,2,154,4,2,S-1,3
ORD1837,7,4,142,6,0,S-2,4
ORD1838,6,4,191,7,1,S-3,2
ORD1839,6,1,118,4,2,S-3,5
ORD1840,8,3,138,2,3,S-2,5
ORD1841,5,4,152,5,0,S-3,5
ORD1842,4,3,185,4,3,S-3,5
ORD1843,7,2,192,7,4,S-2,5
ORD1844,9,3,132,8,4,S-1,2
ORD1845,7,3,60,8,1,S-1,3
ORD1846,8,3,197,5,1,S-2,3
ORD1847,8,2,85,3,0,S-1,5
ORD1848,6,2,131,3,4,S-1,3
ORD1849,9,4,191,8,2,S-1,4
ORD1850,5,4,87,3,4,S-1,3
ORD1851,6,1,138,7,1,S-3,6
ORD1852,5,2,50,8,3,S-2,5
ORD1853,3,1,153,4,0,S-1,6
ORD1854,7,2,114,5,4,S-1,6
ORD1855,8,3,50,2,2,S-2,5
ORD1856,3,1,174,4,2,S-3,2
ORD1857,9,1,109,4,2,S-1,3
ORD1858,6,1,74,1,0,S-1,4
ORD1859,4,2,140,9,2,S-3,2
ORD1860,2,4,187,5,2,S-2,4
ORD1861,4,1,99,8,4,S-1,5
ORD1862,4,4,189,6,0,S-1,3
ORD1863,2,2,141,7,3,S-2,2
ORD1864,7,1,81,1,3,S-3,5
ORD1865,3,2,82,8,2,S-2,2
ORD1866,3,4,75,2,1,S-1,6
ORD1867,7,4,91,9,0,S-3,3
ORD1868,2,1,110,4,1,S-3,3
ORD1869,5,4,90,6,0,S-3,5
ORD1870,4,3,179,3,0,S-2,5
ORD1871,6,3,148,6,4,S-2,5
ORD1872,3,1,147,7,2,S-2,3
ORD1873,7,2,80,9,4,S-1,6
ORD1874,6,2,164,9,1,S-2,3
ORD1875,8,2,196,3,1,S-3,5
ORD1876,2,3,97,4,3,S-1,4
ORD1877,6,4,51,2,4,S-1,6
ORD1878,9,3,188,4,4,S-1,3
ORD1879,6,4,150,7,4,S-3,4
ORD1880,9,3,177,2,3,S-2,6
ORD1881,4,2,108,4,4,S-3,3
ORD1882,2,2,169,9,4,S-2,5
ORD1883,6,2,87,0,4,S-1,3
ORD1884,3,1,156,1,4,S-1,6
ORD1885,2,1,70,2,1,S-3,5
ORD1886,3,4,91,0,2,S-2,2
ORD1887,7,1,186,8,1,S-1,4
ORD1888,7,3,189,8,4,S-3,5
ORD1889,8,3,59,4,0,S-3,5
ORD1890,5,4,182,3,0,S-2,6
ORD1891,7,4,82,4,3,S-2,6
ORD1892,6,2,118,3,1,S-2,4
ORD1893,2,1,129,4,3,S-1,6
ORD1894,7,2,150,6,3,S-3,5
ORD1895,3,1,78,7,0,S-2,4
ORD1896,6,1,195,1,1,S-3,4
ORD1897,7,4,183,3,2,S-1,3
ORD1898,9,2,102,7,1,S-1,5
ORD1899,9,2,173,6,3,S-2,5
ORD1900,4,1,91,8,4,S-1,6
ORD1901,3,1,96,4,3,S-3,5
ORD1902,8,4,60,5,1,S-3,6
ORD1903,8,3,132,7,0,S-1,5
ORD1904,8,2,158,4,1,S-1,3
ORD1905,3,2,76,8,2,S-1,5
ORD1906,8,4,111,3,4,S-3,3
ORD1907,5,4,197,7,4,S-1,5
ORD1908,4,2,180,2,3,S-2,5
ORD1909,5,2,193,4,1,S-2,2
ORD1910,9,1,152,7,0,S-3,5
ORD1911,7,3,93,9,2,S-1,3
ORD1912,4,2,142,6,3,S-1,4
ORD1913,3,4,79,0,1,S-1,3
ORD1914,5,1,168,3,0,S-2,5
ORD1915,6,1,78,1,1,S-2,6
ORD1916,4,4,79,1,0,S-2,2
ORD1917,3,4,153,6,1,S-2,6
ORD1918,2,1,159,2,1,S-2,2
ORD1919,4,4,81,2,3,S-3,2
ORD1920,4,1,187,5,1,S-3,6
ORD1921,7,4,100,5,1,S-1,5
ORD1922,6,1,185,0,3,S-1,3
ORD1923,7,2,85,0,3,S-2,6
ORD1924,8,2,104,5,4,S-1,4
ORD1925,4,4,85,6,4,S-3,2
ORD1926,9,3,105,8,3,S-3,3
ORD1927,4,2,85,3,2,S-1,4
ORD1928,8,1,138,9,0,S-2,3
ORD1929,6,3,111,5,3,S-3,5
ORD1930,6,1,158,2,4,S-1,4
ORD1931,9,1,136,3,1,S-2,6
ORD1932,9,2,113,8,3,S-1,3
ORD1933,5,4,106,0,3,S-2,6
ORD1934,3,4,162,4,4,S-2,6
ORD1935,3,1,119,6,4,S-3,3
ORD1936,5,2,69,2,2,S-3,3
ORD1937,3,1,103,1,4,S-1,2
ORD1938,4,3,50,1,4,S-1,2
ORD1939,5,1,139,0,4,S-2,4
ORD1940,5,2,187,4,1,S-3,4
ORD1941,3,1,162,2,3,S-2,4
ORD1942,2,2,62,6,3,S-2,2
ORD1943,9,4,159,0,4,S-2,6
ORD1944,3,2,140,8,2,S-2,5
ORD1945,7,3,144,1,4,S-2,5
ORD1946,2,2,92,7,2,S-2,3
ORD1947,5,3,187,9,3,S-1,2
ORD1948,2,3,123,3,2,S-3,3
ORD1949,4,1,63,5,2,S-3,5
ORD1950,6,3,148,8,0,S-2,3
ORD1951,2,2,158,6,2,S-2,2
ORD1952,7,4,194,7,2,S-2,2
ORD1953,6,2,198,6,1,S-3,2
ORD1954,4,4,145,1,3,S-3,5
ORD1955,7,3,107,8,4,S-2,2
ORD1956,8,1,185,0,0,S-3,4
ORD1957,6,3,145,1,2,S-2,4
ORD1958,8,3,87,2,1,S-2,2
ORD1959,4,4,113,2,1,S-2,4
ORD1960,6,2,58,9,4,S-1,2
ORD1961,6,1,170,3,4,S-3,5
ORD1962,3,1,81,4,3,S-3,4
ORD1963,7,1,60,5,2,S-3,5
ORD1964,9,1,154,0,1,S-2,4
ORD1965,7,2,195,7,0,S-1,6
ORD1966,2,1,196,5,3,S-2,6
ORD1967,8,4,131,9,2,S-2,5
ORD1968,8,4,86,8,4,S-2,4
ORD1969,7,1,131,4,2,S-1,6
ORD1970,7,1,61,6,4,S-2,2
ORD1971,6,2,53,3,2,S-2,3
ORD1972,8,2,92,5,0,S-1,6
ORD1973,5,1,100,5,3,S-2,6
ORD1974,9,2,54,3,4,S-2,2
ORD1975,3,3,183,5,0,S-3,6
ORD1976,9,1,136,7,1,S-1,6
ORD1977,2,2,155,4,0,S-3,6
ORD1978,9,4,105,1,0,S-2,4
ORD1979,3,1,159,8,0,S-1,6
ORD1980,2,1,117,3,4,S-1,3
ORD1981,4,4,145,3,1,S-2,4
ORD1982,6,4,93,6,3,S-3,4
ORD1983,7,2,192,9,0,S-2,5
ORD1984,7,4,139,9,4,S-1,6
ORD1985,5,3,91,5,4,S-1,3
ORD1986,9,1,188,3,3,S-2,3
ORD1987,8,3,122,5,2,S-2,5
ORD1988,8,2,60,2,1,S-2,3
ORD1989,3,4,107,6,1,S-2,4
ORD1990,3,1,177,5,0,S-3,2
ORD1991,3,4,70,2,2,S-3,4
ORD1992,8,4,70,0,1,S-3,2
ORD1993,7,2,121,9,0,S-3,3
ORD1994,8,2,178,4,2,S-1,6
ORD1995,3,2,151,9,4,S-1,2
ORD1996,6,2,62,1,0,S-3,4
ORD1997,2,1,122,6,2,S-2,4
ORD1998,7,3,55,6,3,S-1,4
ORD1999,6,3,161,3,1,S-2,4
ORD2000,4,1,66,5,0,S-3,5
ORD2001,9,4,122,0,4,S-1,3
ORD2002,6,1,61,1,0,S-1,6
ORD2003,9,3,135,5,1,S-1,5
ORD2004,6,3,171,1,1,S-1,3
ORD2005,4,1,119,3,2,S-3,2
ORD2006,6,2,157,3,4,S-1,5
ORD2007,2,4,101,9,2,S-3,5
ORD2008,7,1,86,8,4,S-1,5
ORD2009,9,3,166,9,0,S-3,5
ORD2010,5,2,52,6,0,S-3,2
ORD2011,8,4,57,6,2,S-2,4
ORD2012,4,3,187,0,3,S-3,5
ORD2013,9,4,96,4,1,S-2,3
ORD2014,7,2,113,2,2,S-1,4
ORD2015,3,3,91,2,2,S-2,2
ORD2016,9,2,92,5,0,S-3,6
ORD2017,2,1,174,3,1,S-2,2
ORD2018,5,1,186,7,2,S-1,6
ORD2019,2,4,63,3,0,S-2,3
ORD2020,9,2,140,7,0,S-3,6
ORD2021,2,2,181,3,2,S-3,5
ORD2022,3,4,51,2,2,S-1,4
ORD2023,5,4,164,4,0,S-1,4
ORD2024,8,4,50,4,2,S-2,5
ORD2025,2,1,124,9,1,S-1,4
ORD2026,3,4,114,9,0,S-3,2
ORD2027,4,1,174,0,0,S-2,5
ORD2028,3,4,184,7,2,S-2,5
ORD2029,6,2,115,7,2,S-2,4
ORD2030,9,2,192,7,2,S-2,6
ORD2031,7,4,121,9,1,S-1,3
ORD2032,9,4,165,3,0,S-2,6
ORD2033,9,1,170,8,3,S-2,2
ORD2034,3,3,96,9,1,S-2,5
ORD2035,3,1,139,2,1,S-3,5
ORD2036,3,2,89,6,0,S-3,2
ORD2037,9,4,91,5,3,S-1,3
ORD2038,8,2,84,8,0,S-3,5
ORD2039,2,3,90,3,1,S-3,6
ORD2040,8,1,134,3,2,S-1,2
ORD2041,5,2,173,5,0,S-1,5
ORD2042,3,1,106,7,0,S-2,6
ORD2043,3,4,87,2,2,S-2,2
ORD2044,6,2,145,7,3,S-1,2
ORD2045,6,3,185,7,3,S-2,2
ORD2046,4,1,112,6,0,S-2,3
ORD2047,4,1,136,6,2,S-2,2
ORD2048,6,3,181,4,0,S-1,4
ORD2049,5,2,101,1,2,S-3,4
ORD2050,4,2,87,1,1,S-3,2
ORD2051,7,1,136,9,2,S-1,5
ORD2052,7,3,54,7,0,S-1,4
ORD2053,5,1,169,5,4,S-2,6
ORD2054,6,1,119,7,3,S-1,6
ORD2055,4,4,162,2,0,S-1,5
ORD2056,3,2,73,0,2,S-1,6
ORD2057,6,2,135,5,2,S-1,5
ORD2058,4,4,194,1,3,S-2,6
ORD2059,5,2,75,8,0,S-2,2
ORD2060,7,2,52,4,4,S-1,6
ORD2061,9,2,51,4,1,S-1,2
ORD2062,5,3,141,9,4,S-3,6
ORD2063,9,4,51,7,1,S-3,6
ORD2064,4,1,199,5,1,S-1,6
ORD2065,5,3,120,2,0,S-3,2
ORD2066,4,1,53,8,1,S-3,6
ORD2067,4,4,87,9,2,S-2,6
ORD2068,9,4,152,3,1,S-2,3
ORD2069,5,4,119,9,1,S-2,2
ORD2070,2,2,101,3,3,S-3,4
ORD2071,3,3,80,1,3,S-1,5
ORD2072,6,4,85,2,0,S-2,3
ORD2073,7,1,182,3,0,S-3,6
ORD2074,3,2,164,6,2,S-1,4
ORD2075,6,2,123,2,3,S-2,4
ORD2076,6,3,67,7,4,S-3,6
ORD2077,7,3,64,7,0,S-2,6
ORD2078,3,3,146,9,0,S-3,3
ORD2079,7,2,54,1,3,S-2,2
ORD2080,4,4,86,3,3,S-3,3
ORD2081,7,1,153,7,2,S-1,2
ORD2082,9,4,135,0,3,S-2,4
ORD2083,9,1,199,0,1,S-2,5
ORD2084,5,4,64,3,4,S-3,6
ORD2085,2,3,66,1,1,S-1,3
ORD2086,2,1,100,0,1,S-1,4
ORD2087,2,2,94,7,1,S-2,3
ORD2088,3,1,171,1,0,S-3,2
ORD2089,9,2,198,3,1,S-2,6
ORD2090,3,4,131,2,0,S-3,2
ORD2091,4,3,194,1,3,S-1,2
ORD2092,8,1,184,7,4,S-2,2
ORD2093,2,2,138,2,4,S-3,4
ORD2094,4,4,150,8,1,S-1,6
ORD2095,9,3,89,9,4,S-3,5
ORD2096,8,3,92,4,0,S-2,3
ORD2097,2,3,122,8,3,S-3,2
ORD2098,3,4,72,2,1,S-2,6
ORD2099,8,4,144,4,2,S-1,3
ORD2100,5,4,66,9,4,S-3,6
ORD2101,5,3,161,5,4,S-1,3
ORD2102,5,1,152,8,1,S-1,6
ORD2103,7,2,107,7,4,S-2,5
ORD2104,5,4,135,1,4,S-2,6
ORD2105,6,1,84,1,2,S-1,6
ORD2106,2,2,79,4,0,S-2,2
ORD2107,5,3,153,4,1,S-1,2
ORD2108,8,1,171,4,1,S-2,2
ORD2109,9,3,183,3,2,S-2,6
ORD2110,6,2,83,7,2,S-3,5
ORD2111,6,4,105,4,0,S-3,3
ORD2112,6,3,74,0,3,S-2,2
ORD2113,4,1,164,9,1,S-1,4
ORD2114,8,4,62,4,4,S-1,6
ORD2115,4,1,112,0,0,S-1,5
ORD2116,6,2,151,3,1,S-2,5
ORD2117,7,2,171,0,0,S-2,2
ORD2118,5,4,169,5,3,S-1,2
ORD2119,9,1,182,5,1,S-3,4
ORD2120,2,1,60,0,4,S-3,4
ORD2121,8,1,158,7,1,S-1,2
ORD2122,7,1,153,3,0,S-2,3
ORD2123,3,2,160,1,3,S-2,2
ORD2124,4,1,118,0,0,S-1,2
ORD2125,5,2,151,2,0,S-3,5
ORD2126,5,1,51,6,2,S-1,2
ORD2127,3,1,86,9,0,S-1,2
ORD2128,3,3,167,9,3,S-1,2
ORD2129,8,3,98,7,4,S-3,3
ORD2130,5,1,124,4,2,S-1,5
ORD2131,3,2,124,6,0,S-3,6
ORD2132,5,1,83,1,1,S-2,6
ORD2133,7,3,107,3,2,S-3,6
ORD2134,8,1,160,5,3,S-3,6
ORD2135,9,3,145,4,1,S-1,5
ORD2136,3,1,109,5,3,S-2,2
ORD2137,7,4,189,1,1,S-1,6
ORD2138,7,1,81,6,4,S-3,2
ORD2139,3,2,181,7,3,S-3,6
ORD2140,8,3,155,8,1,S-1,3
ORD2141,5,4,82,5,3,S-2,2
ORD2142,9,3,92,6,2,S-3,5
ORD2143,6,3,161,0,3,S-3,3
ORD2144,5,2,156,8,3,S-3,3
ORD2145,2,1,58,5,1,S-2,5
ORD2146,3,2,163,3,3,S-1,3
ORD2147,4,1,174,9,4,S-2,2
ORD2148,8,4,69,8,0,S-2,4
ORD2149,3,2,90,0,2,S-3,4
ORD2150,2,2,93,1,1,S-2,6
ORD2151,7,3,174,2,3,S-3,6
ORD2152,4,2,84,0,3,S-2,2
ORD2153,4,1,107,1,3,S-2,5
ORD2154,5,2,97,1,2,S-1,2
ORD2155,6,2,107,6,0,S-2,6
ORD2156,5,4,150,9,4,S-1,3
ORD2157,8,1,106,5,4,S-3,2
ORD2158,4,3,113,8,1,S-3,2
ORD2159,9,1,111,4,0,S-1,5
ORD2160,9,4,132,8,0,S-3,6
ORD2161,4,1,162,9,2,S-3,2
ORD2162,9,1,161,8,3,S-2,3
ORD2163,9,2,111,1,0,S-1,3
ORD2164,6,2,143,8,3,S-3,4
ORD2165,8,1,134,2,2,S-1,6
ORD2166,3,1,75,2,1,S-2,3
ORD2167,6,3,170,8,1,S-3,5
ORD2168,7,4,99,6,3,S-3,6
ORD2169,5,2,164,7,3,S-1,3
ORD2170,9,2,85,6,0,S-3,2
ORD2171,3,2,82,8,2,S-1,6
ORD2172,5,2,172,7,1,S-3,3
ORD2173,9,1,149,3,0,S-2,2
ORD2174,6,1,117,1,4,S-2,4
ORD2175,3,3,122,4,0,S-1,6
ORD2176,6,2,185,1,3,S-3,6
ORD2177,7,2,72,3,4,S-3,3
ORD2178,2,1,119,1,0,S-1,4
ORD2179,4,3,104,4,2,S-2,5
ORD2180,8,1,159,5,1,S-2,3
ORD2181,3,2,198,0,4,S-2,3
ORD2182,4,2,199,7,2,S-1,5
ORD2183,2,4,58,1,0,S-2,5
ORD2184,3,4,178,4,3,S-1,5
ORD2185,4,4,157,7,3,S-2,5
ORD2186,4,3,182,4,2,S-2,5
ORD2187,3,1,199,2,3,S-1,2
ORD2188,4,2,117,5,1,S-3,2
ORD2189,4,2,115,0,2,S-3,5
ORD2190,3,3,193,0,2,S-3,4
ORD2191,8,2,102,7,3,S-2,4
ORD2192,4,2,177,6,2,S-2,5
ORD2193,4,1,114,9,0,S-3,2
ORD2194,8,4,113,9,4,S-2,4
ORD2195,5,4,117,2,4,S-2,2
ORD2196,7,3,111,7,3,S-3,3
ORD2197,5,4,130,7,1,S-1,2
ORD2198,9,4,120,0,1,S-3,5
ORD2199,2,3,163,9,3,S-3,6
ORD2200,5,3,101,6,3,S-1,5
ORD2201,5,4,165,1,2,S-2,3
ORD2202,2,1,174,1,1,S-3,2
ORD2203,4,3,176,1,4,S-3,4
ORD2204,4,2,114,4,3,S-2,5
ORD2205,5,3,179,6,4,S-2,4
ORD2206,2,2,71,3,4,S-1,2
ORD2207,4,3,125,3,1,S-2,3
ORD2208,6,3,143,8,4,S-3,5
ORD2209,3,4,120,9,2,S-2,4
ORD2210,3,4,155,8,2,S-2,5
ORD2211,7,4,99,6,1,S-1,5
ORD2212,3,1,151,9,2,S-1,4
ORD2213,5,4,162,3,3,S-3,3
ORD2214,3,4,79,7,1,S-3,5
ORD2215,3,3,61,9,4,S-2,3
ORD2216,6,3,131,2,3,S-3,3
ORD2217,4,1,95,2,1,S-3,2
ORD2218,6,2,179,6,4,S-2,4
ORD2219,5,3,146,8,4,S-2,2
ORD2220,3,3,129,3,4,S-2,6
ORD2221,8,2,103,3,4,S-1,2
ORD2222,4,1,84,0,4,S-1,5
ORD2223,7,3,101,0,1,S-2,5
ORD2224,7,4,133,2,2,S-1,5
ORD2225,9,1,121,6,4,S-1,6
ORD2226,9,2,75,8,3,S-1,3
ORD2227,3,2,110,3,1,S-3,5
ORD2228,3,4,86,1,0,S-2,2
ORD2229,7,4,144,5,2,S-2,3
ORD2230,7,4,60,5,3,S-3,2
ORD2231,8,1,90,8,4,S-1,2
ORD2232,5,2,182,3,1,S-2,5
ORD2233,3,4,115,7,1,S-1,2
ORD2234,7,4,190,2,4,S-3,6
ORD2235,8,2,191,1,3,S-1,3
ORD2236,2,3,118,8,1,S-3,5
ORD2237,7,1,108,5,2,S-3,5
ORD2238,4,3,115,7,3,S-1,2
ORD2239,4,4,117,9,4,S-1,2
ORD2240,2,1,61,8,3,S-2,4
ORD2241,9,3,117,0,3,S-3,4
ORD2242,5,2,122,0,0,S-1,5
ORD2243,9,4,55,4,4,S-1,5
ORD2244,3,1,64,8,2,S-2,2
ORD2245,9,1,91,6,4,S-2,6
ORD2246,3,1,80,6,0,S-2,6
ORD2247,7,1,55,1,4,S-3,2
ORD2248,4,4,82,2,4,S-2,4
ORD2249,5,4,70,3,2,S-3,4
ORD2250,5,2,173,1,0,S-2,6
ORD2251,5,2,143,9,4,S-3,5
ORD2252,7,2,198,8,4,S-2,2
ORD2253,3,3,149,4,1,S-3,5
ORD2254,5,2,104,6,4,S-2,4
ORD2255,7,4,113,8,2,S-2,6
ORD2256,7,3,135,4,1,S-1,5
ORD2257,2,4,71,5,0,S-3,4
ORD2258,6,3,109,3,3,S-1,4
ORD2259,9,2,153,7,2,S-3,4
ORD2260,5,2,188,0,0,S-1,5
ORD2261,6,2,96,0,1,S-2,3
ORD2262,3,3,126,4,3,S-1,6
