Order Number,Order Date,Order Status,Freight Cost
ORD1671,11/2/2021,On Time,141.75
ORD1672,11/3/2021,On Time,126.46
ORD1673,11/4/2021,On Time,57.91
ORD1674,11/5/2021,On Time,94.75
ORD1675,11/6/2021,On Time,60.19
ORD1676,11/7/2021,On Time,51.59
ORD1677,11/8/2021,On Time,111.62
ORD1678,11/9/2021,On Time,146.08
ORD1679,11/10/2021,On Time,140.29
ORD1680,11/11/2021,On Time,119.68
ORD1681,11/12/2021,On Time,59.66
ORD1682,11/13/2021,Late,77.42
ORD1683,11/14/2021,On Time,82.01
ORD1684,11/15/2021,On Time,126.32
ORD1685,11/16/2021,On Time,130.22
ORD1686,11/17/2021,On Time,88.51
ORD1687,11/18/2021,Late,91.79
ORD1688,11/19/2021,On Time,54.45
ORD1689,11/20/2021,On Time,78.91
ORD1690,11/21/2021,On Time,95.13
ORD1691,11/22/2021,On Time,61.7
ORD1692,11/23/2021,On Time,95.33
ORD1693,11/24/2021,Late,135.32
ORD1694,11/25/2021,On Time,108.13
ORD1695,11/26/2021,On Time,57.89
ORD1696,11/27/2021,Late,69.17
ORD1697,11/28/2021,On Time,97.45
ORD1698,11/29/2021,On Time,86.15
ORD1699,11/30/2021,On Time,85.87
ORD1700,12/1/2021,Late,102.93
ORD1701,12/2/2021,On Time,108.44
ORD1702,12/3/2021,On Time,129.69
ORD1703,12/4/2021,On Time,84.1
ORD1704,12/5/2021,On Time,130.55
ORD1705,12/6/2021,On Time,83.86
ORD1706,12/7/2021,On Time,55.54
ORD1707,12/8/2021,On Time,105.42
ORD1708,12/9/2021,On Time,108.79
ORD1709,12/10/2021,On Time,143.45
ORD1710,12/11/2021,On Time,122.61
ORD1711,12/12/2021,On Time,141.78
ORD1712,12/13/2021,On Time,140.83
ORD1713,12/14/2021,On Time,110.46
ORD1714,12/15/2021,On Time,102.78
ORD1715,12/16/2021,On Time,105.74
ORD1716,12/17/2021,On Time,147.83
ORD1717,12/18/2021,Late,127.32
ORD1718,12/19/2021,On Time,60.63
ORD1719,12/20/2021,On Time,127.84
ORD1720,12/21/2021,On Time,67.05
ORD1721,12/22/2021,Late,94.74
ORD1722,12/23/2021,On Time,71.05
ORD1723,12/24/2021,On Time,118.96
ORD1724,12/25/2021,On Time,137.73
ORD1725,12/26/2021,On Time,79.04
ORD1726,12/27/2021,Late,58.2
ORD1727,12/28/2021,On Time,79.85
ORD1728,12/29/2021,On Time,117.24
ORD1729,12/30/2021,On Time,82.88
ORD1730,12/31/2021,Late,77.81
ORD1731,1/1/2021,Late,68.44
ORD1732,1/2/2021,On Time,99.75
ORD1733,1/3/2021,Late,77.59
ORD1734,1/4/2021,Late,123.1
ORD1735,1/5/2021,On Time,57.66
ORD1736,1/6/2021,On Time,116.4
ORD1737,1/7/2021,On Time,73.76
ORD1738,1/8/2021,Late,98.93
ORD1739,1/9/2021,On Time,78.61
ORD1740,1/10/2021,Late,122.28
ORD1741,1/11/2021,On Time,144.53
ORD1742,1/12/2021,On Time,141.71
ORD1743,1/13/2021,On Time,108.34
ORD1744,1/14/2021,On Time,96.26
ORD1745,1/15/2021,Late,131.83
ORD1746,1/16/2021,Late,118.33
ORD1747,1/17/2021,Late,68.36
ORD1748,1/18/2021,On Time,132.09
ORD1749,1/19/2021,On Time,92.89
ORD1750,1/20/2021,On Time,68.9
ORD1751,1/21/2021,On Time,78.18
ORD1752,1/22/2021,On Time,76.75
ORD1753,1/23/2021,On Time,101.92
ORD1754,1/24/2021,On Time,73.44
ORD1755,1/25/2021,On Time,62.36
ORD1756,1/26/2021,Late,62.37
ORD1757,1/27/2021,Late,108.33
ORD1758,1/28/2021,On Time,123.48
ORD1759,1/29/2021,On Time,82.15
ORD1760,1/30/2021,On Time,53.47
ORD1761,1/31/2021,On Time,62.72
ORD1762,2/1/2021,Late,141.47
ORD1763,2/2/2021,Late,99.35
ORD1764,2/3/2021,On Time,95.36
ORD1765,2/4/2021,On Time,53.8
ORD1766,2/5/2021,On Time,122.86
ORD1767,2/6/2021,On Time,102.81
ORD1768,2/7/2021,On Time,70.21
ORD1769,2/8/2021,Late,61.01
ORD1770,2/9/2021,On Time,88.34
ORD1771,2/10/2021,On Time,133.72
ORD1772,2/11/2021,Late,136.53
ORD1773,2/12/2021,On Time,110.28
ORD1774,2/13/2021,On Time,122.75
ORD1775,2/14/2021,On Time,61.52
ORD1776,2/15/2021,On Time,108.81
ORD1777,2/16/2021,On Time,116.7
ORD1778,2/17/2021,On Time,70.07
ORD1779,2/18/2021,On Time,138.02
ORD1780,2/19/2021,Late,69.5
ORD1781,2/20/2021,On Time,81.35
ORD1782,2/21/2021,Late,112.06
ORD1783,2/22/2021,Late,113.84
ORD1784,2/23/2021,On Time,119.94
ORD1785,2/24/2021,Late,61.2
ORD1786,2/25/2021,On Time,134.95
ORD1787,2/26/2021,Late,103.28
ORD1788,2/27/2021,On Time,97.13
ORD1789,2/28/2021,On Time,148.11
ORD1790,3/1/2021,On Time,124.04
ORD1791,3/2/2021,Late,61.8
ORD1792,3/3/2021,On Time,125.65
ORD1793,3/4/2021,On Time,59.52
ORD1794,3/5/2021,Late,52.75
ORD1795,3/6/2021,On Time,90.36
ORD1796,3/7/2021,On Time,149.36
ORD1797,3/8/2021,On Time,67.49
ORD1798,3/9/2021,On Time,117.26
ORD1799,3/10/2021,On Time,67.34
ORD1800,3/11/2021,Late,122.48
ORD1801,3/12/2021,On Time,100.54
ORD1802,3/13/2021,On Time,118
ORD1803,3/14/2021,On Time,70.29
ORD1804,3/15/2021,Late,124.56
ORD1805,3/16/2021,Late,149.56
ORD1806,3/17/2021,On Time,116.57
ORD1807,3/18/2021,Late,99.35
ORD1808,3/19/2021,On Time,142.32
ORD1809,3/20/2021,Late,51.59
ORD1810,3/21/2021,On Time,122.99
ORD1811,3/22/2021,Late,138.87
ORD1812,3/23/2021,On Time,56.17
ORD1813,3/24/2021,On Time,95.01
ORD1814,3/25/2021,On Time,70.47
ORD1815,3/26/2021,On Time,106.65
ORD1816,3/27/2021,On Time,114.95
ORD1817,3/28/2021,On Time,80.26
ORD1818,3/29/2021,On Time,96
ORD1819,3/30/2021,On Time,77.93
ORD1820,3/31/2021,On Time,86.94
ORD1821,4/1/2021,On Time,65.95
ORD1822,4/2/2021,On Time,138.56
ORD1823,4/3/2021,Late,51
ORD1824,4/4/2021,On Time,138.24
ORD1825,4/5/2021,On Time,107.17
ORD1826,4/6/2021,On Time,83.17
ORD1827,4/7/2021,On Time,122.31
ORD1828,4/8/2021,Late,100.78
ORD1829,4/9/2021,On Time,99.91
ORD1830,4/10/2021,On Time,61.01
ORD1831,4/11/2021,On Time,88.95
ORD1832,4/12/2021,On Time,74.11
ORD1833,4/13/2021,On Time,51.57
ORD1834,4/14/2021,On Time,86.01
ORD1835,4/15/2021,Late,58.98
ORD1836,4/16/2021,On Time,75.68
ORD1837,4/17/2021,On Time,59.25
ORD1838,4/18/2021,On Time,60.09
ORD1839,4/19/2021,On Time,69.9
ORD1840,4/20/2021,On Time,149.98
ORD1841,4/21/2021,On Time,50.22
ORD1842,4/22/2021,Late,113.87
ORD1843,4/23/2021,Late,64.12
ORD1844,4/24/2021,On Time,142.06
ORD1845,4/25/2021,On Time,59.36
ORD1846,4/26/2021,On Time,145.51
ORD1847,4/27/2021,On Time,111.09
ORD1848,4/28/2021,On Time,50.13
ORD1849,4/29/2021,On Time,139.4
ORD1850,4/30/2021,Late,102.17
ORD1851,5/1/2021,On Time,76.27
ORD1852,5/2/2021,Late,126.73
ORD1853,5/3/2021,On Time,142.67
ORD1854,5/4/2021,On Time,98.37
ORD1855,5/5/2021,On Time,81.56
ORD1856,5/6/2021,On Time,128.89
ORD1857,5/7/2021,Late,118.18
ORD1858,5/8/2021,On Time,138.88
ORD1859,5/9/2021,Late,119.25
ORD1860,5/10/2021,On Time,74.35
ORD1861,5/11/2021,Late,143.17
ORD1862,5/12/2021,On Time,60.48
ORD1863,5/13/2021,Late,76.79
ORD1864,5/14/2021,On Time,102.02
ORD1865,5/15/2021,On Time,106.57
ORD1866,5/16/2021,On Time,51.53
ORD1867,5/17/2021,Late,128.06
ORD1868,5/18/2021,Late,86.16
ORD1869,5/19/2021,On Time,90.64
ORD1870,5/20/2021,On Time,130.94
ORD1871,5/21/2021,Late,87.93
ORD1872,5/22/2021,Late,54.72
ORD1873,5/23/2021,Late,67.64
ORD1874,5/24/2021,On Time,145.59
ORD1875,5/25/2021,On Time,57.04
ORD1876,5/26/2021,On Time,85.49
ORD1877,5/27/2021,On Time,100.32
ORD1878,5/28/2021,On Time,99.33
ORD1879,5/29/2021,On Time,50.4
ORD1880,5/30/2021,On Time,100.12
ORD1881,5/31/2021,Late,88.38
ORD1882,6/1/2021,On Time,147.21
ORD1883,6/2/2021,On Time,65.92
ORD1884,6/3/2021,On Time,85.42
ORD1885,6/4/2021,On Time,91.95
ORD1886,6/5/2021,On Time,89.07
ORD1887,6/6/2021,On Time,116.58
ORD1888,6/7/2021,On Time,71.55
ORD1889,6/8/2021,On Time,72.11
ORD1890,6/9/2021,On Time,122.92
ORD1891,6/10/2021,On Time,100.03
ORD1892,6/11/2021,On Time,91.52
ORD1893,6/12/2021,On Time,66.92
ORD1894,6/13/2021,On Time,68.75
ORD1895,6/14/2021,Late,51.06
ORD1896,6/15/2021,Late,59.14
ORD1897,6/16/2021,On Time,105.68
ORD1898,6/17/2021,On Time,139.19
ORD1899,6/18/2021,On Time,78.72
ORD1900,6/19/2021,On Time,82.77
ORD1901,6/20/2021,On Time,61.56
ORD1902,6/21/2021,On Time,88.86
ORD1903,6/22/2021,On Time,53.72
ORD1904,6/23/2021,On Time,141.76
ORD1905,6/24/2021,On Time,117.31
ORD1906,6/25/2021,On Time,149.07
ORD1907,6/26/2021,On Time,138.28
ORD1908,6/27/2021,On Time,97.3
ORD1909,6/28/2021,On Time,101.97
ORD1910,6/29/2021,Late,69.06
ORD1911,6/30/2021,On Time,96.2
ORD1912,7/1/2021,On Time,140.3
ORD1913,7/2/2021,On Time,55.09
ORD1914,7/3/2021,On Time,136.36
ORD1915,7/4/2021,Late,84.09
ORD1916,7/5/2021,On Time,139.95
ORD1917,7/6/2021,On Time,144.09
ORD1918,7/7/2021,On Time,117.09
ORD1919,7/8/2021,Late,116.44
ORD1920,7/9/2021,Late,95.28
ORD1921,7/10/2021,On Time,133.55
ORD1922,7/11/2021,On Time,146.16
ORD1923,7/12/2021,On Time,127.51
ORD1924,7/13/2021,On Time,112.19
ORD1925,7/14/2021,On Time,110.68
ORD1926,7/15/2021,On Time,134.95
ORD1927,7/16/2021,On Time,104.12
ORD1928,7/17/2021,On Time,130.39
ORD1929,7/18/2021,On Time,100.89
ORD1930,7/19/2021,On Time,56.24
ORD1931,7/20/2021,Late,88.39
ORD1932,7/21/2021,On Time,94.44
ORD1933,7/22/2021,On Time,64.16
ORD1934,7/23/2021,Late,60.25
ORD1935,7/24/2021,On Time,103.55
ORD1936,7/25/2021,Late,58.51
ORD1937,7/26/2021,On Time,80.29
ORD1938,7/27/2021,On Time,124.46
ORD1939,7/28/2021,Late,146.44
ORD1940,7/29/2021,On Time,121.79
ORD1941,7/30/2021,On Time,149.26
ORD1942,7/31/2021,Late,119.83
ORD1943,8/1/2021,On Time,79.38
ORD1944,8/2/2021,On Time,117.21
ORD1945,8/3/2021,Late,120.22
ORD1946,8/4/2021,On Time,87.17
ORD1947,8/5/2021,Late,51.77
ORD1948,8/6/2021,On Time,120.32
ORD1949,8/7/2021,On Time,52.17
ORD1950,8/8/2021,On Time,113.12
ORD1951,8/9/2021,On Time,66.36
ORD1952,8/10/2021,Late,106.56
ORD1953,8/11/2021,Late,100.39
ORD1954,8/12/2021,On Time,51.35
ORD1955,8/13/2021,On Time,86.29
ORD1956,8/14/2021,On Time,110.11
ORD1957,8/15/2021,On Time,134.86
ORD1958,8/16/2021,On Time,138.86
ORD1959,8/17/2021,On Time,98.38
ORD1960,8/18/2021,On Time,122.84
ORD1961,8/19/2021,On Time,81.65
ORD1962,8/20/2021,On Time,84.22
ORD1963,8/21/2021,On Time,69.45
ORD1964,8/22/2021,On Time,106.19
ORD1965,8/23/2021,On Time,81.46
ORD1966,8/24/2021,On Time,58.44
ORD1967,8/25/2021,On Time,118.5
ORD1968,8/26/2021,On Time,120.78
ORD1969,8/27/2021,On Time,86
ORD1970,8/28/2021,On Time,57.67
ORD1971,8/29/2021,On Time,92.63
ORD1972,8/30/2021,On Time,94.23
ORD1973,8/31/2021,On Time,116.87
ORD1974,9/1/2021,Late,81.54
ORD1975,9/2/2021,On Time,118.26
ORD1976,9/3/2021,On Time,137.15
ORD1977,9/4/2021,On Time,73.75
ORD1978,9/5/2021,On Time,147.89
ORD1979,9/6/2021,On Time,88.64
ORD1980,9/7/2021,On Time,76.73
ORD1981,9/8/2021,On Time,92.15
ORD1982,9/9/2021,On Time,59.44
ORD1983,9/10/2021,On Time,62.57
ORD1984,9/11/2021,On Time,91.44
ORD1985,9/12/2021,On Time,126.24
ORD1986,9/13/2021,On Time,140.03
ORD1987,9/14/2021,On Time,116.48
ORD1988,9/15/2021,Late,60.52
ORD1989,9/16/2021,On Time,117.2
ORD1990,9/17/2021,Late,113.54
ORD1991,9/18/2021,On Time,130.58
ORD1992,9/19/2021,Late,132.52
ORD1993,9/20/2021,On Time,136.82
ORD1994,9/21/2021,On Time,91.41
ORD1995,9/22/2021,On Time,119.79
ORD1996,9/23/2021,On Time,76.83
ORD1997,9/24/2021,On Time,149.93
ORD1998,9/25/2021,On Time,67.53
ORD1999,9/26/2021,On Time,51.01
ORD2000,9/27/2021,On Time,64.88
ORD2001,9/28/2021,On Time,127.59
ORD2002,9/29/2021,On Time,94.68
ORD2003,9/30/2021,On Time,94.75
ORD2004,10/1/2021,On Time,145.5
ORD2005,10/2/2021,On Time,141.96
ORD2006,10/3/2021,Late,81.12
ORD2007,10/4/2021,On Time,70.91
ORD2008,10/5/2021,On Time,134.85
ORD2009,10/6/2021,On Time,140.6
ORD2010,10/7/2021,On Time,104.16
ORD2011,10/8/2021,Late,112.94
ORD2012,10/9/2021,On Time,75.69
ORD2013,10/10/2021,On Time,130.08
ORD2014,10/11/2021,On Time,113.21
ORD2015,10/12/2021,On Time,100.35
ORD2016,10/13/2021,On Time,56.01
ORD2017,10/14/2021,On Time,141.59
ORD2018,10/15/2021,On Time,111.55
ORD2019,10/16/2021,On Time,69.27
ORD2020,10/17/2021,On Time,110.64
ORD2021,10/18/2021,On Time,117.75
ORD2022,10/19/2021,On Time,102.58
ORD2023,10/20/2021,On Time,121.81
ORD2024,10/21/2021,On Time,108.15
ORD2025,10/22/2021,On Time,144.78
ORD2026,10/23/2021,On Time,55.37
ORD2027,10/24/2021,On Time,60.62
ORD2028,10/25/2021,On Time,67.37
ORD2029,10/26/2021,On Time,119.02
ORD2030,10/27/2021,On Time,114.56
ORD2031,10/28/2021,Late,139.21
ORD2032,10/29/2021,On Time,123.29
ORD2033,10/30/2021,On Time,100.84
ORD2034,10/31/2021,On Time,149.18
ORD2035,11/1/2021,On Time,76.61
ORD2036,11/2/2021,On Time,133.32
ORD2037,11/3/2021,On Time,92.68
ORD2038,11/4/2021,Late,114.87
ORD2039,11/5/2021,On Time,122.73
ORD2040,11/6/2021,On Time,113.38
ORD2041,11/7/2021,On Time,64.05
ORD2042,11/8/2021,On Time,94.3
ORD2043,11/9/2021,On Time,106.14
ORD2044,11/10/2021,On Time,134.9
ORD2045,11/11/2021,On Time,94.36
ORD2046,11/12/2021,Late,141.87
ORD2047,11/13/2021,On Time,94.04
ORD2048,11/14/2021,On Time,104.88
ORD2049,11/15/2021,On Time,129.63
ORD2050,11/16/2021,On Time,108.31
ORD2051,11/17/2021,On Time,146.02
ORD2052,11/18/2021,On Time,116.03
ORD2053,11/19/2021,On Time,102.27
ORD2054,11/20/2021,On Time,52.36
ORD2055,11/21/2021,On Time,91.37
ORD2056,11/22/2021,Late,79.92
ORD2057,11/23/2021,On Time,124.81
ORD2058,11/24/2021,On Time,70.83
ORD2059,11/25/2021,On Time,70.52
ORD2060,11/26/2021,Late,68.95
ORD2061,11/27/2021,On Time,62.56
ORD2062,11/28/2021,On Time,81.1
ORD2063,11/29/2021,On Time,138.59
ORD2064,11/30/2021,On Time,127.49
ORD2065,12/1/2021,On Time,123.53
ORD2066,12/2/2021,On Time,129.73
ORD2067,12/3/2021,On Time,76.94
ORD2068,12/4/2021,On Time,138.74
ORD2069,12/5/2021,On Time,63.73
ORD2070,12/6/2021,On Time,83.63
ORD2071,12/7/2021,On Time,108.67
ORD2072,12/8/2021,On Time,60.29
ORD2073,12/9/2021,On Time,123.01
ORD2074,12/10/2021,On Time,88.72
ORD2075,12/11/2021,On Time,128.44
ORD2076,12/12/2021,Late,99.29
ORD2077,12/13/2021,On Time,68.09
ORD2078,12/14/2021,On Time,123.48
ORD2079,12/15/2021,On Time,75.21
ORD2080,12/16/2021,On Time,99.08
ORD2081,12/17/2021,On Time,57.55
ORD2082,12/18/2021,On Time,111.79
ORD2083,12/19/2021,On Time,116.59
ORD2084,12/20/2021,On Time,87.87
ORD2085,12/21/2021,Late,145.44
ORD2086,12/22/2021,On Time,137.42
ORD2087,12/23/2021,On Time,120.79
ORD2088,12/24/2021,On Time,121.37
ORD2089,12/25/2021,On Time,75.24
ORD2090,12/26/2021,On Time,115.68
ORD2091,12/27/2021,On Time,69.82
ORD2092,12/28/2021,Late,64.4
ORD2093,12/29/2021,On Time,149.95
ORD2094,12/30/2021,On Time,112.24
ORD2095,12/31/2021,Late,93.1
ORD2096,1/1/2022,On Time,78.82
ORD2097,1/2/2022,On Time,110.39
ORD2098,1/3/2022,On Time,54.96
ORD2099,1/4/2022,Late,59.47
ORD2100,1/5/2022,Late,53.29
ORD2101,1/6/2022,On Time,99.92
ORD2102,1/7/2022,On Time,110.06
ORD2103,1/8/2022,On Time,56.25
ORD2104,1/9/2022,Late,122.12
ORD2105,1/10/2022,On Time,73.04
ORD2106,1/11/2022,Late,118.52
ORD2107,1/12/2022,Late,148.19
ORD2108,1/13/2022,On Time,119.11
ORD2109,1/14/2022,On Time,138.32
ORD2110,1/15/2022,On Time,144.82
ORD2111,1/16/2022,On Time,98.68
ORD2112,1/17/2022,On Time,120.23
ORD2113,1/18/2022,On Time,135.2
ORD2114,1/19/2022,Late,85.66
ORD2115,1/20/2022,Late,76.14
ORD2116,1/21/2022,On Time,144.66
ORD2117,1/22/2022,On Time,122.63
ORD2118,1/23/2022,On Time,71.97
ORD2119,1/24/2022,On Time,94.91
ORD2120,1/25/2022,On Time,129.65
ORD2121,1/26/2022,On Time,104.71
ORD2122,1/27/2022,Late,115
ORD2123,1/28/2022,On Time,125.38
ORD2124,1/29/2022,Late,112.2
ORD2125,1/30/2022,Late,104.01
ORD2126,1/31/2022,On Time,124.96
ORD2127,2/1/2022,Late,122.76
ORD2128,2/2/2022,On Time,112.99
ORD2129,2/3/2022,On Time,85.98
ORD2130,2/4/2022,On Time,90.58
ORD2131,2/5/2022,On Time,147.04
ORD2132,2/6/2022,On Time,61.24
ORD2133,2/7/2022,On Time,76.85
ORD2134,2/8/2022,On Time,99.24
ORD2135,2/9/2022,On Time,133.67
ORD2136,2/10/2022,On Time,66.37
ORD2137,2/11/2022,On Time,77.7
ORD2138,2/12/2022,On Time,56.58
ORD2139,2/13/2022,On Time,120.6
ORD2140,2/14/2022,On Time,73.82
ORD2141,2/15/2022,On Time,88.87
ORD2142,2/16/2022,On Time,94.37
ORD2143,2/17/2022,On Time,139.13
ORD2144,2/18/2022,On Time,91.13
ORD2145,2/19/2022,On Time,64.52
ORD2146,2/20/2022,On Time,102.43
ORD2147,2/21/2022,Late,146.3
ORD2148,2/22/2022,Late,110.77
ORD2149,2/23/2022,Late,148.34
ORD2150,2/24/2022,Late,134.11
ORD2151,2/25/2022,On Time,53.6
ORD2152,2/26/2022,On Time,115.84
ORD2153,2/27/2022,On Time,78.68
ORD2154,2/28/2022,On Time,105.96
ORD2155,3/1/2022,On Time,77.93
ORD2156,3/2/2022,On Time,84.89
ORD2157,3/3/2022,On Time,142.32
ORD2158,3/4/2022,On Time,70.66
ORD2159,3/5/2022,On Time,137.41
ORD2160,3/6/2022,On Time,53.05
ORD2161,3/7/2022,Late,59.09
ORD2162,3/8/2022,On Time,135.47
ORD2163,3/9/2022,Late,113.06
ORD2164,3/10/2022,On Time,124.72
ORD2165,3/11/2022,Late,70.94
ORD2166,3/12/2022,On Time,103.71
ORD2167,3/13/2022,On Time,123.72
ORD2168,3/14/2022,On Time,112.73
ORD2169,3/15/2022,On Time,97.17
ORD2170,3/16/2022,On Time,145.98
ORD2171,3/17/2022,On Time,117.62
ORD2172,3/18/2022,On Time,140.78
ORD2173,3/19/2022,On Time,122.98
ORD2174,3/20/2022,On Time,123.55
ORD2175,3/21/2022,Late,58
ORD2176,3/22/2022,On Time,85.95
ORD2177,3/23/2022,On Time,135.84
ORD2178,3/24/2022,On Time,73.26
ORD2179,3/25/2022,On Time,61.55
ORD2180,3/26/2022,On Time,82.61
ORD2181,3/27/2022,Late,72.04
ORD2182,3/28/2022,Late,142.53
ORD2183,3/29/2022,On Time,136.8
ORD2184,3/30/2022,On Time,99.97
ORD2185,3/31/2022,Late,56.13
ORD2186,4/1/2022,On Time,121.46
ORD2187,4/2/2022,On Time,112.34
ORD2188,4/3/2022,On Time,147.06
ORD2189,4/4/2022,On Time,105.9
ORD2190,4/5/2022,On Time,83.64
ORD2191,4/6/2022,Late,101.9
ORD2192,4/7/2022,On Time,147.93
ORD2193,4/8/2022,On Time,119.64
ORD2194,4/9/2022,Late,117.2
ORD2195,4/10/2022,On Time,74.07
ORD2196,4/11/2022,On Time,124.36
ORD2197,4/12/2022,On Time,125.03
ORD2198,4/13/2022,On Time,81.73
ORD2199,4/14/2022,On Time,98.37
ORD2200,4/15/2022,On Time,79.46
ORD2201,4/16/2022,On Time,75.87
ORD2202,4/17/2022,On Time,52.59
ORD2203,4/18/2022,On Time,78.52
ORD2204,4/19/2022,On Time,105.4
ORD2205,4/20/2022,On Time,50.16
ORD2206,4/21/2022,Late,78.32
ORD2207,4/22/2022,On Time,138.14
ORD2208,4/23/2022,On Time,109.36
ORD2209,4/24/2022,On Time,110.79
ORD2210,4/25/2022,On Time,90.34
ORD2211,4/26/2022,On Time,117.65
ORD2212,4/27/2022,Late,68.99
ORD2213,4/28/2022,On Time,131.87
ORD2214,4/29/2022,Late,61.67
ORD2215,4/30/2022,On Time,115.6
ORD2216,5/1/2022,On Time,84.11
ORD2217,5/2/2022,On Time,124.75
ORD2218,5/3/2022,On Time,104.98
ORD2219,5/4/2022,On Time,95.24
ORD2220,5/5/2022,Late,66.94
ORD2221,5/6/2022,On Time,113.68
ORD2222,5/7/2022,On Time,147.48
ORD2223,5/8/2022,On Time,132.56
ORD2224,5/9/2022,On Time,56
ORD2225,5/10/2022,On Time,87.62
ORD2226,5/11/2022,On Time,142.56
ORD2227,5/12/2022,On Time,100.3
ORD2228,5/13/2022,On Time,116.21
ORD2229,5/14/2022,On Time,141.26
ORD2230,5/15/2022,On Time,137.38
ORD2231,5/16/2022,On Time,100.18
ORD2232,5/17/2022,On Time,93.76
ORD2233,5/18/2022,On Time,83.97
ORD2234,5/19/2022,On Time,121.9
ORD2235,5/20/2022,On Time,78.7
ORD2236,5/21/2022,On Time,74.99
ORD2237,5/22/2022,On Time,85.62
ORD2238,5/23/2022,On Time,67.72
ORD2239,5/24/2022,On Time,119.51
ORD2240,5/25/2022,Late,111.62
ORD2241,5/26/2022,On Time,98.29
ORD2242,5/27/2022,On Time,89.03
ORD2243,5/28/2022,Late,140.91
ORD2244,5/29/2022,On Time,52.91
ORD2245,5/30/2022,On Time,126.91
ORD2246,5/31/2022,On Time,140.19
ORD2247,6/1/2022,On Time,94.64
ORD2248,6/2/2022,On Time,105.07
ORD2249,6/3/2022,On Time,144.45
ORD2250,6/4/2022,On Time,71.23
ORD2251,6/5/2022,On Time,102.01
ORD2252,6/6/2022,On Time,97.47
ORD2253,6/7/2022,Late,75.84
ORD2254,6/8/2022,On Time,131.86
ORD2255,6/9/2022,On Time,139.96
ORD2256,6/10/2022,On Time,128.19
ORD2257,6/11/2022,On Time,69.54
ORD2258,6/12/2022,On Time,58.67
ORD2259,6/13/2022,On Time,110.54
ORD2260,6/14/2022,On Time,55.71
ORD2261,6/15/2022,On Time,117.28
ORD2262,6/16/2022,On Time,103.04
ORD2263,6/17/2022,On Time,116.28
ORD2264,6/18/2022,On Time,109.02
ORD2265,6/19/2022,On Time,92.27
ORD2266,6/20/2022,Late,70.09
ORD2267,6/21/2022,On Time,80.57
ORD2268,6/22/2022,On Time,102.45
ORD2269,6/23/2022,On Time,115.19
ORD2270,6/24/2022,On Time,127.95
ORD2271,6/25/2022,Late,126.72
ORD2272,6/26/2022,On Time,147.27
ORD2273,6/27/2022,On Time,78.58
ORD2274,6/28/2022,On Time,57.11
ORD2275,6/29/2022,On Time,84.57
ORD2276,6/30/2022,On Time,124.33
ORD2277,7/1/2022,Late,93.81
ORD2278,7/2/2022,On Time,131.78
ORD2279,7/3/2022,On Time,104.93
ORD2280,7/4/2022,Late,142.98
ORD2281,7/5/2022,On Time,144.79
ORD2282,7/6/2022,On Time,56.93
ORD2283,7/7/2022,On Time,95.64
ORD2284,7/8/2022,Late,110.97
ORD2285,7/9/2022,On Time,75.59
ORD2286,7/10/2022,On Time,90.71
ORD2287,7/11/2022,On Time,117.77
ORD2288,7/12/2022,On Time,72.67
ORD2289,7/13/2022,On Time,110.2
ORD2290,7/14/2022,On Time,119.74
ORD2291,7/15/2022,On Time,59.05
ORD2292,7/16/2022,On Time,99.75
ORD2293,7/17/2022,Late,76.31
ORD2294,7/18/2022,On Time,122.44
ORD2295,7/19/2022,On Time,68.96
ORD2296,7/20/2022,On Time,139.22
ORD2297,7/21/2022,On Time,93.09
ORD2298,7/22/2022,On Time,69.8
ORD2299,7/23/2022,On Time,93.8
ORD2300,7/24/2022,On Time,90.87
ORD2301,7/25/2022,On Time,92.89
ORD2302,7/26/2022,On Time,108.56
ORD2303,7/27/2022,On Time,102.12
ORD2304,7/28/2022,On Time,64.98
ORD2305,7/29/2022,Late,56.56
ORD2306,7/30/2022,On Time,122.94
ORD2307,7/31/2022,Late,105.97
ORD2308,8/1/2022,Late,85.9
ORD2309,8/2/2022,On Time,130.84
ORD2310,8/3/2022,On Time,88.81
ORD2311,8/4/2022,On Time,129.6
ORD2312,8/5/2022,On Time,80.58
ORD2313,8/6/2022,On Time,57.28
ORD2314,8/7/2022,On Time,143.26
ORD2315,8/8/2022,On Time,89.46
ORD2316,8/9/2022,On Time,129.27
ORD2317,8/10/2022,On Time,77.91
ORD2318,8/11/2022,On Time,114.64
ORD2319,8/12/2022,On Time,137.33
ORD2320,8/13/2022,On Time,54.16
ORD2321,8/14/2022,On Time,133.06
ORD2322,8/15/2022,On Time,107.13
ORD2323,8/16/2022,Late,110.75
ORD2324,8/17/2022,On Time,102.32
ORD2325,8/18/2022,On Time,137.45
ORD2326,8/19/2022,On Time,54.34
ORD2327,8/20/2022,On Time,76.1
ORD2328,8/21/2022,Late,137.58
ORD2329,8/22/2022,On Time,125.23
ORD2330,8/23/2022,Late,51.76
ORD2331,8/24/2022,On Time,101.7
ORD2332,8/25/2022,On Time,102.96
ORD2333,8/26/2022,On Time,90.09
ORD2334,8/27/2022,On Time,79.74
ORD2335,8/28/2022,On Time,118.17
ORD2336,8/29/2022,Late,70.78
ORD2337,8/30/2022,Late,129.89
ORD2338,8/31/2022,On Time,130.3
ORD2339,9/1/2022,Late,91.53
ORD2340,9/2/2022,Late,78.35
ORD2341,9/3/2022,On Time,78.39
ORD2342,9/4/2022,On Time,98.23
